normalized_title,job_count,top_skills,top_skill_groups
AI Engineer,1329,"python, azure, nlp, rag, fine-tuning","Text AI & Generative AI, Core Programming & Data, Cloud Platforms"
Data Scientist,969,"r, python, aws, computer vision, nlp","Core Programming & Data, Cloud Platforms, Computer Vision"
Machine Learning Engineer,822,"nlp, computer vision, python, r, aws","Text AI & Generative AI, Core Programming & Data, Computer Vision"
Software Engineer,439,"python, aws, kubernetes, rag, azure","Core Programming & Data, Cloud Platforms, Text AI & Generative AI"
LLM Engineer,396,"rag, fine-tuning, nlp, python, transformers","Text AI & Generative AI, Core Programming & Data, Cloud Platforms"
Research Scientist,382,"r, computer vision, python, transformers, rag","Core Programming & Data, Computer Vision, Text AI & Generative AI"
MLOps Engineer,251,"aws, python, azure, docker, gcp","Cloud Platforms, Core Programming & Data, MLOps & Infrastructure"
Computer Vision Engineer,240,"computer vision, r, python, fine-tuning, docker","Computer Vision, Core Programming & Data, Text AI & Generative AI"
Product / Management,219,"aws, azure, r, rag, computer vision","Cloud Platforms, Text AI & Generative AI, Core Programming & Data"
Other,166,"pytorch, aws, computer vision, fine-tuning, mlflow","Machine Learning Frameworks, Text AI & Generative AI, Cloud Platforms"
Consultant,117,"nlp, azure, r, python, openai","Core Programming & Data, Text AI & Generative AI, Cloud Platforms"
Data Engineer,116,"aws, azure, gcp, spark, airflow","Cloud Platforms, Data Engineering, Core Programming & Data"
NLP Engineer,114,"nlp, python, rag, computer vision, transformers","Text AI & Generative AI, Core Programming & Data, Computer Vision"
Solutions Architect,79,"azure, python, gcp, fine-tuning, r","Cloud Platforms, Core Programming & Data, Text AI & Generative AI"
DevOps Engineer,72,"azure, rag, python, openai","Cloud Platforms, Text AI & Generative AI, Core Programming & Data"
Platform Engineer,62,"azure, python, aws, kubernetes, openai","Cloud Platforms, Core Programming & Data, MLOps & Infrastructure"
