,precision,recall,f1-score,support
AI Engineer,0.699724517906336,0.9548872180451128,0.8076311605723371,266.0
Computer Vision Engineer,0.9782608695652174,0.9375,0.9574468085106383,48.0
Consultant,1.0,0.391304347826087,0.5625,23.0
Data Engineer,0.9090909090909091,0.43478260869565216,0.5882352941176471,23.0
Data Scientist,0.8603603603603603,0.9845360824742269,0.9182692307692307,194.0
DevOps Engineer,1.0,0.21428571428571427,0.35294117647058826,14.0
LLM Engineer,0.9206349206349206,0.7341772151898734,0.8169014084507042,79.0
MLOps Engineer,0.9130434782608695,0.84,0.875,50.0
Machine Learning Engineer,0.8439306358381503,0.8848484848484849,0.863905325443787,165.0
NLP Engineer,1.0,0.5652173913043478,0.7222222222222222,23.0
Other,0.4666666666666667,0.21212121212121213,0.2916666666666667,33.0
Platform Engineer,0.6,0.25,0.35294117647058826,12.0
Product / Management,0.65,0.5909090909090909,0.6190476190476191,44.0
Research Scientist,0.8235294117647058,0.7272727272727273,0.7724137931034483,77.0
Software Engineer,0.7972972972972973,0.6704545454545454,0.7283950617283951,88.0
Solutions Architect,1.0,0.25,0.4,16.0
accuracy,0.8017316017316017,0.8017316017316017,0.8017316017316017,0.8017316017316017
macro avg,0.8414086917115895,0.6026435399016921,0.664344808973367,1155.0
weighted avg,0.813252864714942,0.8017316017316017,0.7868860367610608,1155.0
