normalized_title,remote_type_clean,job_count,category_job_count,share_in_category_percent
AI Engineer,Hybrid,93,290,32.07
AI Engineer,On-site,23,290,7.93
AI Engineer,Remote,174,290,60.0
Computer Vision Engineer,Hybrid,10,39,25.64
Computer Vision Engineer,On-site,11,39,28.21
Computer Vision Engineer,Remote,18,39,46.15
Consultant,Hybrid,4,22,18.18
Consultant,Remote,18,22,81.82
Data Engineer,Hybrid,9,16,56.25
Data Engineer,Remote,7,16,43.75
Data Scientist,Hybrid,88,234,37.61
Data Scientist,On-site,44,234,18.8
Data Scientist,Remote,102,234,43.59
DevOps Engineer,Hybrid,3,5,60.0
DevOps Engineer,Remote,2,5,40.0
LLM Engineer,Hybrid,10,88,11.36
LLM Engineer,On-site,10,88,11.36
LLM Engineer,Remote,68,88,77.27
MLOps Engineer,Hybrid,14,26,53.85
MLOps Engineer,On-site,2,26,7.69
MLOps Engineer,Remote,10,26,38.46
Machine Learning Engineer,Hybrid,22,72,30.56
Machine Learning Engineer,On-site,1,72,1.39
Machine Learning Engineer,Remote,49,72,68.06
NLP Engineer,Hybrid,1,12,8.33
NLP Engineer,On-site,3,12,25.0
NLP Engineer,Remote,8,12,66.67
Other,Hybrid,5,34,14.71
Other,On-site,1,34,2.94
Other,Remote,28,34,82.35
Platform Engineer,Hybrid,5,9,55.56
Platform Engineer,On-site,2,9,22.22
Platform Engineer,Remote,2,9,22.22
Product / Management,Hybrid,9,29,31.03
Product / Management,On-site,1,29,3.45
Product / Management,Remote,19,29,65.52
Research Scientist,Hybrid,54,78,69.23
Research Scientist,On-site,2,78,2.56
Research Scientist,Remote,22,78,28.21
Software Engineer,Hybrid,47,96,48.96
Software Engineer,On-site,3,96,3.12
Software Engineer,Remote,46,96,47.92
Solutions Architect,Hybrid,5,9,55.56
Solutions Architect,On-site,1,9,11.11
Solutions Architect,Remote,3,9,33.33
